Plan_ID,Gender,Age_Group,BMI_Category,Fitness_Goal,Activity_Level,Dietary_Preference,Medical_Conditions,Allergies_Intolerances,Exercise_Schedule,Meal_Plan,Nutritional_Facts,Est_Calories_Burned,Semantic_Description
PLAN_001,Male,18-25,Underweight,Muscle Gain,Beginner,Halal,,,Monday: Full body resistance training 45 mins. Tuesday: Light jogging 20 mins. Wednesday: Rest. Thursday: Dumbbell workout 40 mins. Friday: Core exercises 20 mins. Saturday: Cycling 30 mins. Sunday: Stretching.,Breakfast: Oats with dates and milk. Lunch: Grilled chicken with rice and vegetables. Dinner: Beef stew with potatoes. Snacks: Banana smoothie and yogurt.,"{Calories: 2800 kcal, Protein: 150g, Carbs: 320g, Fats: 85g}",2400,PLAN_001: A muscle gain plan for an 18-25 year old underweight male beginner following a halal diet. The plan uses moderate strength training and calorie-dense meals to support healthy weight gain without medical restrictions.
PLAN_002,Female,26-35,Overweight,Weight Loss,Intermediate,Vegan,Hypertension,Gluten Intolerance,Monday: Brisk walk 40 mins. Tuesday: Yoga 30 mins. Wednesday: Stationary cycling 35 mins. Thursday: Resistance bands 30 mins. Friday: Walking 45 mins. Saturday: Pilates 30 mins. Sunday: Rest.,Breakfast: Gluten-free oatmeal with berries. Lunch: Quinoa salad with chickpeas. Dinner: Lentil soup with steamed vegetables. Snacks: Apple slices and hummus.,"{Calories: 1600 kcal, Protein: 85g, Carbs: 170g, Fats: 45g}",2200,PLAN_002: A vegan weight loss plan for a 26-35 year old overweight female with hypertension and gluten intolerance. The routine focuses on low-impact cardio and plant-based meals with reduced sodium for safe fat loss.
PLAN_003,Any,36-50,Normal,Maintenance,Intermediate,Any,,Lactose Intolerance,Monday: Swimming 40 mins. Tuesday: Bodyweight exercises 35 mins. Wednesday: Rest. Thursday: Fast walking 45 mins. Friday: Light strength training 30 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Scrambled eggs with fruit. Lunch: Turkey wrap with gluten-free tortilla. Dinner: Baked fish with brown rice. Snacks: Dairy-free yogurt and almonds.,"{Calories: 2100 kcal, Protein: 110g, Carbs: 220g, Fats: 65g}",2600,PLAN_003: A maintenance plan designed for a 36-50 year old individual with normal BMI and lactose intolerance. Balanced nutrition and mixed cardio-strength sessions support long-term fitness and energy levels.
PLAN_004,Female,50+,Obese,Weight Loss,Beginner,Halal,Heart Disease,,Monday: Slow walking 25 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Walking 30 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Boiled eggs with cucumber. Lunch: Grilled fish with steamed vegetables. Dinner: Chicken soup with brown rice. Snacks: Pear and herbal tea.,"{Calories: 1500 kcal, Protein: 90g, Carbs: 140g, Fats: 45g}",1500,PLAN_004: A safe low-impact weight loss plan for a 50+ obese female with heart disease. The halal meal plan is heart-friendly and the exercise schedule avoids HIIT or heavy lifting.
PLAN_005,Male,26-35,Normal,Endurance/Stamina,Advanced,Keto,,Nut Allergy,Monday: Running 60 mins. Tuesday: HIIT cycling 40 mins. Wednesday: Strength endurance training 45 mins. Thursday: Swimming 45 mins. Friday: Sprint drills 30 mins. Saturday: Long-distance cycling 90 mins. Sunday: Mobility work.,Breakfast: Eggs with avocado. Lunch: Grilled salmon salad. Dinner: Beef with roasted vegetables. Snacks: Cheese cubes and olives.,"{Calories: 2500 kcal, Protein: 140g, Carbs: 70g, Fats: 170g}",4200,PLAN_005: An advanced keto endurance plan for a normal BMI male aged 26-35 with nut allergy restrictions. High-fat meals and intensive cardio sessions support stamina and athletic performance.
PLAN_006,Female,18-25,Underweight,Muscle Gain,Intermediate,Vegan,,,Monday: Resistance training 45 mins. Tuesday: Jump rope 20 mins. Wednesday: Lower body workout 45 mins. Thursday: Rest. Friday: Upper body workout 40 mins. Saturday: Jogging 30 mins. Sunday: Yoga.,Breakfast: Peanut butter smoothie with oats. Lunch: Tofu stir fry with rice. Dinner: Chickpea curry with quinoa. Snacks: Trail mix and fruit.,"{Calories: 2600 kcal, Protein: 120g, Carbs: 310g, Fats: 75g}",2800,PLAN_006: A vegan muscle gain program for an underweight female aged 18-25. Strength-focused training and high-calorie plant meals help build lean mass while maintaining balanced nutrition.
PLAN_007,Male,36-50,Overweight,Weight Loss,Beginner,Any,Asthma,,Monday: Walking 35 mins. Tuesday: Breathing exercises and yoga 25 mins. Wednesday: Rest. Thursday: Light cycling 30 mins. Friday: Resistance bands 25 mins. Saturday: Walking 40 mins. Sunday: Stretching.,Breakfast: Whole grain cereal with fruit. Lunch: Grilled chicken salad. Dinner: Vegetable soup with lean turkey. Snacks: Carrot sticks and hummus.,"{Calories: 1700 kcal, Protein: 100g, Carbs: 180g, Fats: 50g}",1900,PLAN_007: A beginner-friendly weight loss plan for a 36-50 year old overweight male with asthma. Moderate exercise intensity and nutrient-dense meals improve endurance and support gradual fat loss.
PLAN_008,Female,26-35,Normal,Maintenance,Intermediate,Halal,Lactose Intolerance,,Monday: Pilates 40 mins. Tuesday: Strength training 35 mins. Wednesday: Rest. Thursday: Jogging 30 mins. Friday: Yoga 30 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Dairy-free smoothie bowl. Lunch: Chicken quinoa salad. Dinner: Lamb kebabs with vegetables. Snacks: Dates and seeds.,"{Calories: 2000 kcal, Protein: 105g, Carbs: 210g, Fats: 60g}",2400,PLAN_008: A halal maintenance plan for a normal BMI female with lactose intolerance. Balanced meals and moderate workouts maintain body composition and support digestive comfort.
PLAN_009,Any,50+,Obese,Weight Loss,Beginner,Vegan,Hypertension,Nut Allergy,Monday: Slow treadmill walk 20 mins. Tuesday: Tai chi 25 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 25 mins. Saturday: Gentle yoga 20 mins. Sunday: Rest.,Breakfast: Oat porridge with berries. Lunch: Lentil salad. Dinner: Vegetable stew with quinoa. Snacks: Fresh fruit.,"{Calories: 1450 kcal, Protein: 70g, Carbs: 165g, Fats: 40g}",1400,PLAN_009: A vegan low-sodium weight loss plan for an obese individual aged 50+ with hypertension and nut allergy concerns. The exercise routine prioritizes mobility and cardiovascular safety.
PLAN_010,Male,18-25,Normal,Muscle Gain,Advanced,Any,,Gluten Intolerance,Monday: Heavy lifting 60 mins. Tuesday: Sprint intervals 25 mins. Wednesday: Push-pull workout 60 mins. Thursday: Rest. Friday: Deadlifts and squats 60 mins. Saturday: Basketball 90 mins. Sunday: Recovery stretching.,Breakfast: Gluten-free oats with eggs. Lunch: Steak with sweet potatoes. Dinner: Chicken rice bowl. Snacks: Protein shake and fruit.,"{Calories: 3200 kcal, Protein: 190g, Carbs: 340g, Fats: 95g}",4500,PLAN_010: An advanced muscle gain plan for a young male with normal BMI and gluten intolerance. High-protein gluten-free meals and intense resistance training support strength and hypertrophy.
